insert, update, select, sum, delete
0.09379699999999999, 0.12989099999999998, 18.439236, 0.1918690000000005, 0.015828000000002618 
0.0760969999999972, 0.10549800000000076, 18.295908, 0.20202300000000406, 0.015304000000000428 
0.07926300000000452, 0.10607900000000114, 18.600611999999998, 0.2082329999999999, 0.015484999999998195 
0.08040099999999484, 0.11142800000000364, 18.0094, 0.20258400000000165, 0.013898000000011734 
0.07949899999999843, 0.1049770000000052, 17.965902, 0.19151400000001217, 0.01553799999999228 
0.07259899999999675, 0.1249170000000106, 19.469012000000006, 0.21346499999999935, 0.01510600000000295 
0.07662100000000294, 0.10771099999999478, 19.986289, 0.25329300000001354, 0.019127000000025873 
0.08574999999999022, 0.13071899999999914, 18.358699, 0.26559699999998543, 0.022842999999994618 
0.07987199999999461, 0.133892000000003, 21.74595400000001, 0.21175400000001332, 0.014405999999979713 
0.08207699999999818, 0.11982299999999668, 18.840289000000013, 0.2027750000000026, 0.01947199999997906 
